n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,247,203,delivered,3,2,1.5,
250,0,A_reference,28,249,delivered,7,6,1.1666666666666667,
250,0,A_reference,202,58,delivered,5,4,1.25,
250,0,A_reference,173,19,delivered,7,6,1.1666666666666667,
250,0,A_reference,145,123,delivered,5,4,1.25,
250,0,A_reference,11,150,delivered,5,4,1.25,
250,0,A_reference,234,192,delivered,5,5,1.0,
250,0,A_reference,47,201,delivered,6,5,1.2,
250,0,A_reference,179,110,delivered,7,5,1.4,
250,0,A_reference,75,23,delivered,3,2,1.5,
250,0,A_reference,93,99,delivered,4,4,1.0,
250,0,A_reference,236,246,delivered,3,3,1.0,
250,0,A_reference,78,182,delivered,6,5,1.2,
250,0,A_reference,102,140,delivered,4,3,1.3333333333333333,
250,0,A_reference,63,8,delivered,4,3,1.3333333333333333,
250,0,A_reference,63,209,delivered,9,7,1.2857142857142858,
250,0,A_reference,47,0,delivered,8,7,1.1428571428571428,
250,0,A_reference,122,230,delivered,4,4,1.0,
250,0,A_reference,125,198,delivered,4,3,1.3333333333333333,
250,0,A_reference,237,98,delivered,7,5,1.4,
250,0,A_reference,95,148,delivered,6,5,1.2,
250,0,A_reference,126,23,delivered,5,4,1.25,
250,0,A_reference,77,114,delivered,6,5,1.2,
250,0,A_reference,36,128,delivered,3,3,1.0,
250,0,A_reference,27,184,delivered,5,4,1.25,
250,0,A_reference,152,25,delivered,4,4,1.0,
250,0,A_reference,2,234,delivered,7,7,1.0,
250,0,A_reference,33,37,delivered,2,2,1.0,
250,0,A_reference,93,183,delivered,4,3,1.3333333333333333,
250,0,A_reference,224,26,delivered,8,7,1.1428571428571428,
250,0,A_reference,9,50,delivered,4,3,1.3333333333333333,
250,0,A_reference,72,127,delivered,3,3,1.0,
250,0,A_reference,119,54,delivered,3,2,1.5,
250,0,A_reference,12,215,delivered,6,6,1.0,
250,0,A_reference,126,147,delivered,5,5,1.0,
250,0,A_reference,121,22,delivered,3,3,1.0,
250,0,A_reference,145,198,delivered,4,3,1.3333333333333333,
250,0,A_reference,28,203,delivered,6,5,1.2,
250,0,A_reference,201,194,delivered,4,3,1.3333333333333333,
250,0,A_reference,133,48,delivered,4,3,1.3333333333333333,
250,0,A_reference,93,235,delivered,4,4,1.0,
250,0,A_reference,189,70,delivered,5,4,1.25,
250,0,A_reference,70,151,delivered,3,3,1.0,
250,0,A_reference,187,148,delivered,4,3,1.3333333333333333,
250,0,A_reference,245,92,delivered,6,6,1.0,
250,0,A_reference,206,78,delivered,4,4,1.0,
250,0,A_reference,54,172,delivered,4,4,1.0,
250,0,A_reference,118,46,delivered,5,4,1.25,
250,0,A_reference,223,177,delivered,6,6,1.0,
250,0,A_reference,221,212,delivered,4,4,1.0,
250,0,A_reference,35,142,delivered,7,5,1.4,
250,0,A_reference,14,243,delivered,9,8,1.125,
250,0,A_reference,144,187,delivered,6,5,1.2,
250,0,A_reference,11,69,delivered,5,3,1.6666666666666667,
250,0,A_reference,156,162,delivered,5,5,1.0,
250,0,A_reference,199,57,delivered,4,4,1.0,
250,0,A_reference,50,147,delivered,3,3,1.0,
250,0,A_reference,81,14,delivered,8,6,1.3333333333333333,
250,0,A_reference,99,240,delivered,5,4,1.25,
250,0,A_reference,123,225,delivered,7,5,1.4,
250,0,A_reference,190,170,delivered,2,2,1.0,
250,0,A_reference,4,31,delivered,6,4,1.5,
250,0,A_reference,46,84,delivered,5,5,1.0,
250,0,A_reference,129,240,delivered,3,3,1.0,
250,0,A_reference,10,68,delivered,3,3,1.0,
