n_nodes,tx_pct,k_neighbors,seed,tx_distance_px,density,spacing_approx,r_over_s,mean_degree,min_degree,max_degree,isolated_nodes,n_components,connected,converged,ticks,mean_constraint_violation,procrustes_rmse,tx_energy_proxy,soft_converged,meaningful_hard
50,10.0,12,0,113.137,7.8125e-05,113.137,1.0,2.08,0,5,7,13,0,1,9,0.0,306.8325,0.003162,0,0
50,10.0,12,1,113.137,7.8125e-05,113.137,1.0,2.52,0,5,2,8,0,1,15,0.4257,281.5063,0.003162,0,0
50,10.0,12,2,113.137,7.8125e-05,113.137,1.0,2.32,0,5,2,4,0,1,12,0.0,285.3168,0.003162,0,0
50,10.0,12,3,113.137,7.8125e-05,113.137,1.0,2.28,0,5,4,10,0,1,15,0.0,286.2575,0.003162,0,0
50,10.0,12,4,113.137,7.8125e-05,113.137,1.0,2.24,0,5,3,6,0,1,13,0.0,298.3491,0.003162,0,0
50,12.0,6,0,135.765,7.8125e-05,113.137,1.2,3.44,0,6,2,3,0,1,18,0.0,274.9271,0.004988,0,0
50,12.0,6,1,135.765,7.8125e-05,113.137,1.2,3.6,1,6,0,2,0,1,38,0.0,154.1242,0.004988,0,0
50,12.0,6,2,135.765,7.8125e-05,113.137,1.2,3.58,1,6,0,1,1,1,97,0.0,135.4155,0.004988,0,0
50,12.0,6,3,135.765,7.8125e-05,113.137,1.2,3.66,0,6,2,3,0,1,18,0.0,268.6777,0.004988,0,0
50,12.0,6,4,135.765,7.8125e-05,113.137,1.2,3.64,0,6,1,2,0,1,6,0.0,282.7376,0.004988,0,0
50,12.0,10,0,135.765,7.8125e-05,113.137,1.2,3.44,0,6,2,3,0,1,18,0.0,274.9271,0.004988,0,0
50,12.0,10,1,135.765,7.8125e-05,113.137,1.2,3.6,1,6,0,2,0,1,38,0.0,154.1242,0.004988,0,0
50,12.0,10,2,135.765,7.8125e-05,113.137,1.2,3.6,1,7,0,1,1,1,101,0.0,150.7346,0.004988,0,0
50,12.0,10,3,135.765,7.8125e-05,113.137,1.2,3.72,0,7,2,3,0,1,24,0.0,272.4242,0.004988,0,0
50,12.0,10,4,135.765,7.8125e-05,113.137,1.2,3.64,0,6,1,2,0,1,6,0.0,282.7376,0.004988,0,0
50,12.0,12,0,135.765,7.8125e-05,113.137,1.2,3.44,0,6,2,3,0,1,18,0.0,274.9271,0.004988,0,0
50,12.0,12,1,135.765,7.8125e-05,113.137,1.2,3.6,1,6,0,2,0,1,38,0.0,154.1242,0.004988,0,0
50,12.0,12,2,135.765,7.8125e-05,113.137,1.2,3.6,1,7,0,1,1,1,101,0.0,150.7346,0.004988,0,0
50,12.0,12,3,135.765,7.8125e-05,113.137,1.2,3.72,0,7,2,3,0,1,24,0.0,272.4242,0.004988,0,0
50,12.0,12,4,135.765,7.8125e-05,113.137,1.2,3.64,0,6,1,2,0,1,6,0.0,282.7376,0.004988,0,0
50,15.0,6,0,169.706,7.8125e-05,113.137,1.5,4.96,1,6,0,1,1,0,250,0.5268,68.3768,0.008714,0,0
50,15.0,6,1,169.706,7.8125e-05,113.137,1.5,5.26,1,6,0,1,1,1,151,0.0424,366.9556,0.008714,0,0
50,15.0,6,2,169.706,7.8125e-05,113.137,1.5,5.44,3,6,0,1,1,1,40,0.0,388.6059,0.008714,0,0
50,15.0,6,3,169.706,7.8125e-05,113.137,1.5,5.22,2,6,0,1,1,1,219,0.0,32.6085,0.008714,0,0
50,15.0,6,4,169.706,7.8125e-05,113.137,1.5,5.24,2,6,0,1,1,1,63,0.0,382.3922,0.008714,0,0
50,15.0,10,0,169.706,7.8125e-05,113.137,1.5,5.52,1,10,0,1,1,1,74,0.0,60.501,0.008714,0,0
50,15.0,10,1,169.706,7.8125e-05,113.137,1.5,6.16,1,10,0,1,1,1,65,0.0,359.5633,0.008714,1,1
50,15.0,10,2,169.706,7.8125e-05,113.137,1.5,6.28,3,10,0,1,1,1,108,0.0,367.4007,0.008714,1,1
50,15.0,10,3,169.706,7.8125e-05,113.137,1.5,6.12,2,10,0,1,1,1,49,0.0,26.7731,0.008714,1,1
50,15.0,10,4,169.706,7.8125e-05,113.137,1.5,5.8,2,9,0,1,1,0,250,7.5419,394.7015,0.008714,0,0
50,15.0,12,0,169.706,7.8125e-05,113.137,1.5,5.52,1,10,0,1,1,1,74,0.0,60.501,0.008714,0,0
50,15.0,12,1,169.706,7.8125e-05,113.137,1.5,6.16,1,10,0,1,1,1,65,0.0,359.5633,0.008714,1,1
50,15.0,12,2,169.706,7.8125e-05,113.137,1.5,6.28,3,10,0,1,1,1,108,0.0,367.4007,0.008714,1,1
50,15.0,12,3,169.706,7.8125e-05,113.137,1.5,6.12,2,10,0,1,1,1,49,0.0,26.7731,0.008714,1,1
50,15.0,12,4,169.706,7.8125e-05,113.137,1.5,5.8,2,9,0,1,1,0,250,7.5419,394.7015,0.008714,0,0
50,20.0,6,0,226.274,7.8125e-05,113.137,2.0,5.8,3,6,0,1,1,1,75,0.0,50.9208,0.017889,0,0
50,20.0,6,1,226.274,7.8125e-05,113.137,2.0,5.82,3,6,0,1,1,1,166,0.0732,384.5302,0.017889,0,0
50,20.0,6,2,226.274,7.8125e-05,113.137,2.0,5.94,4,6,0,1,1,1,132,0.0,30.6313,0.017889,0,0
50,20.0,6,3,226.274,7.8125e-05,113.137,2.0,5.86,4,6,0,1,1,0,250,9.4755,73.1635,0.017889,0,0
50,20.0,6,4,226.274,7.8125e-05,113.137,2.0,5.86,4,6,0,1,1,1,83,0.0,394.6753,0.017889,0,0
50,20.0,10,0,226.274,7.8125e-05,113.137,2.0,8.42,3,10,0,1,1,1,20,0.0,36.786,0.017889,1,1
50,20.0,10,1,226.274,7.8125e-05,113.137,2.0,8.92,3,10,0,1,1,1,215,0.0,385.3329,0.017889,1,1
50,20.0,10,2,226.274,7.8125e-05,113.137,2.0,8.96,4,10,0,1,1,1,71,0.0,392.0288,0.017889,1,1
50,20.0,10,3,226.274,7.8125e-05,113.137,2.0,8.72,4,10,0,1,1,1,53,0.0,29.6522,0.017889,1,1
50,20.0,10,4,226.274,7.8125e-05,113.137,2.0,8.78,4,10,0,1,1,1,32,0.0,392.2424,0.017889,1,1
50,20.0,12,0,226.274,7.8125e-05,113.137,2.0,9.06,3,12,0,1,1,1,14,0.0,50.5004,0.017889,1,1
50,20.0,12,1,226.274,7.8125e-05,113.137,2.0,9.88,3,12,0,1,1,1,108,0.0,366.9751,0.017889,1,1
50,20.0,12,2,226.274,7.8125e-05,113.137,2.0,9.82,4,12,0,1,1,1,90,0.0,384.4767,0.017889,1,1
50,20.0,12,3,226.274,7.8125e-05,113.137,2.0,9.68,4,12,0,1,1,1,141,0.0,20.9558,0.017889,1,1
50,20.0,12,4,226.274,7.8125e-05,113.137,2.0,9.56,4,12,0,1,1,0,250,1.1124,404.0583,0.017889,0,0
50,25.0,6,0,282.843,7.8125e-05,113.137,2.5,5.98,5,6,0,1,1,1,62,0.2034,61.7932,0.03125,0,0
50,25.0,6,1,282.843,7.8125e-05,113.137,2.5,5.98,5,6,0,1,1,0,250,0.5661,385.7145,0.03125,0,0
50,25.0,6,2,282.843,7.8125e-05,113.137,2.5,6.0,6,6,0,1,1,0,250,9.5823,393.5025,0.03125,0,0
50,25.0,6,3,282.843,7.8125e-05,113.137,2.5,6.0,6,6,0,1,1,0,250,7.1253,103.5872,0.03125,0,0
50,25.0,6,4,282.843,7.8125e-05,113.137,2.5,5.98,5,6,0,1,1,0,250,5.1014,357.9634,0.03125,0,0
50,25.0,10,0,282.843,7.8125e-05,113.137,2.5,9.56,5,10,0,1,1,1,66,0.0,41.3584,0.03125,1,1
50,25.0,10,1,282.843,7.8125e-05,113.137,2.5,9.76,5,10,0,1,1,1,168,0.0,382.3886,0.03125,1,1
50,25.0,10,2,282.843,7.8125e-05,113.137,2.5,9.84,8,10,0,1,1,1,91,0.0,381.7325,0.03125,1,1
50,25.0,10,3,282.843,7.8125e-05,113.137,2.5,9.68,6,10,0,1,1,1,40,0.0,24.1245,0.03125,1,1
50,25.0,10,4,282.843,7.8125e-05,113.137,2.5,9.68,5,10,0,1,1,1,21,0.0,398.5534,0.03125,1,1
50,25.0,12,0,282.843,7.8125e-05,113.137,2.5,11.0,5,12,0,1,1,1,24,0.0,36.9568,0.03125,1,1
50,25.0,12,1,282.843,7.8125e-05,113.137,2.5,11.38,5,12,0,1,1,1,38,0.0,379.944,0.03125,1,1
50,25.0,12,2,282.843,7.8125e-05,113.137,2.5,11.5,8,12,0,1,1,1,172,0.0,384.6626,0.03125,1,1
50,25.0,12,3,282.843,7.8125e-05,113.137,2.5,11.12,6,12,0,1,1,1,176,0.0,29.3265,0.03125,1,1
50,25.0,12,4,282.843,7.8125e-05,113.137,2.5,11.3,5,12,0,1,1,1,151,0.0,386.0558,0.03125,1,1
50,30.0,6,0,339.411,7.8125e-05,113.137,3.0,6.0,6,6,0,1,1,1,62,0.2027,61.7932,0.049295,1,1
50,30.0,6,1,339.411,7.8125e-05,113.137,3.0,6.0,6,6,0,1,1,1,154,0.0,386.5838,0.049295,1,1
50,30.0,6,2,339.411,7.8125e-05,113.137,3.0,6.0,6,6,0,1,1,0,250,9.5823,393.5025,0.049295,0,0
50,30.0,6,3,339.411,7.8125e-05,113.137,3.0,6.0,6,6,0,1,1,0,250,7.1253,103.5872,0.049295,0,0
50,30.0,6,4,339.411,7.8125e-05,113.137,3.0,6.0,6,6,0,1,1,1,111,0.0,374.8497,0.049295,1,1
50,30.0,10,0,339.411,7.8125e-05,113.137,3.0,9.84,6,10,0,1,1,1,70,0.0,25.6154,0.049295,1,1
50,30.0,10,1,339.411,7.8125e-05,113.137,3.0,9.96,8,10,0,1,1,1,164,0.0,372.0366,0.049295,1,1
50,30.0,10,2,339.411,7.8125e-05,113.137,3.0,10.0,10,10,0,1,1,1,50,0.0,384.7172,0.049295,1,1
50,30.0,10,3,339.411,7.8125e-05,113.137,3.0,10.0,10,10,0,1,1,1,40,0.0,26.7033,0.049295,1,1
50,30.0,10,4,339.411,7.8125e-05,113.137,3.0,9.94,8,10,0,1,1,1,152,0.0,397.4287,0.049295,1,1
50,30.0,12,0,339.411,7.8125e-05,113.137,3.0,11.66,6,12,0,1,1,1,219,0.0,35.1309,0.049295,1,1
50,30.0,12,1,339.411,7.8125e-05,113.137,3.0,11.92,8,12,0,1,1,1,153,0.0,382.8191,0.049295,1,1
50,30.0,12,2,339.411,7.8125e-05,113.137,3.0,11.94,10,12,0,1,1,1,114,0.0,386.8187,0.049295,1,1
50,30.0,12,3,339.411,7.8125e-05,113.137,3.0,11.92,10,12,0,1,1,1,113,0.0,24.357,0.049295,1,1
50,30.0,12,4,339.411,7.8125e-05,113.137,3.0,11.8,8,12,0,1,1,1,37,0.0,391.2023,0.049295,1,1
100,5.0,6,0,56.569,0.00015625,80.0,0.7071,0.88,0,3,40,63,0,1,10,0.0,308.6266,0.000559,0,0
100,5.0,6,1,56.569,0.00015625,80.0,0.7071,0.78,0,2,37,62,0,1,15,0.0,309.5713,0.000559,0,0
100,5.0,6,2,56.569,0.00015625,80.0,0.7071,0.76,0,2,39,63,0,1,11,0.0,315.9413,0.000559,0,0
100,5.0,6,3,56.569,0.00015625,80.0,0.7071,0.86,0,3,32,60,0,1,20,0.796,315.6574,0.000559,0,0
100,5.0,6,4,56.569,0.00015625,80.0,0.7071,0.84,0,3,36,60,0,1,9,0.0,314.7827,0.000559,0,0
100,5.0,10,0,56.569,0.00015625,80.0,0.7071,0.88,0,3,40,63,0,1,10,0.0,308.6266,0.000559,0,0
100,5.0,10,1,56.569,0.00015625,80.0,0.7071,0.78,0,2,37,62,0,1,15,0.0,309.5713,0.000559,0,0
100,5.0,10,2,56.569,0.00015625,80.0,0.7071,0.76,0,2,39,63,0,1,11,0.0,315.9413,0.000559,0,0
100,5.0,10,3,56.569,0.00015625,80.0,0.7071,0.86,0,3,32,60,0,1,20,0.796,315.6574,0.000559,0,0
100,5.0,10,4,56.569,0.00015625,80.0,0.7071,0.84,0,3,36,60,0,1,9,0.0,314.7827,0.000559,0,0
100,5.0,12,0,56.569,0.00015625,80.0,0.7071,0.88,0,3,40,63,0,1,10,0.0,308.6266,0.000559,0,0
100,5.0,12,1,56.569,0.00015625,80.0,0.7071,0.78,0,2,37,62,0,1,15,0.0,309.5713,0.000559,0,0
100,5.0,12,2,56.569,0.00015625,80.0,0.7071,0.76,0,2,39,63,0,1,11,0.0,315.9413,0.000559,0,0
100,5.0,12,3,56.569,0.00015625,80.0,0.7071,0.86,0,3,32,60,0,1,20,0.796,315.6574,0.000559,0,0
100,5.0,12,4,56.569,0.00015625,80.0,0.7071,0.84,0,3,36,60,0,1,9,0.0,314.7827,0.000559,0,0
100,8.0,6,0,90.51,0.00015625,80.0,1.1314,2.8,0,5,2,10,0,1,35,0.0,263.8029,0.00181,0,0
100,8.0,6,1,90.51,0.00015625,80.0,1.1314,2.84,0,6,3,6,0,1,40,0.0,302.5148,0.00181,0,0
100,8.0,6,2,90.51,0.00015625,80.0,1.1314,2.86,1,5,0,2,0,1,91,0.1217,308.8575,0.00181,0,0
100,8.0,6,3,90.51,0.00015625,80.0,1.1314,2.8,0,6,3,6,0,1,71,0.0041,300.2921,0.00181,0,0
100,8.0,6,4,90.51,0.00015625,80.0,1.1314,3.06,0,6,2,5,0,1,28,0.147,299.3235,0.00181,0,0
100,8.0,10,0,90.51,0.00015625,80.0,1.1314,2.8,0,5,2,10,0,1,35,0.0,263.8029,0.00181,0,0
