n_nodes,seed,noise_frac_spacing,sigma_px,n_pairs,pdr,mean_hops_delivered,mean_stretch_delivered,greedy_failure_rate,loop_rate,dead_end_rate,hop_limit_rate,disconnected_rate,decision_agreement
250,0,0.0,0.0,300.0,1.0,4.426666666666667,1.1480396825396826,0.0,0.0,0.0,0.0,0.0,
250,0,0.02,1.0119288512538815,300.0,1.0,4.44,1.1521428571428571,0.0,0.0,0.0,0.0,0.0,
250,0,0.05,2.529822128134704,300.0,1.0,4.39,1.1395039682539683,0.0,0.0,0.0,0.0,0.0,
250,0,0.1,5.059644256269408,300.0,1.0,4.41,1.1455,0.0,0.0,0.0,0.0,0.0,
250,0,0.15,7.58946638440411,300.0,1.0,4.403333333333333,1.1452261904761905,0.0,0.0,0.0,0.0,0.0,
250,0,0.2,10.119288512538816,300.0,1.0,4.453333333333333,1.15425,0.0,0.0,0.0,0.0,0.0,
250,0,0.3,15.17893276880822,300.0,1.0,4.483333333333333,1.1680119047619049,0.0,0.0,0.0,0.0,0.0,
250,1,0.0,0.0,300.0,1.0,4.17,1.1289404761904762,0.0,0.0,0.0,0.0,0.0,
250,1,0.02,1.0119288512538815,300.0,1.0,4.193333333333333,1.1352976190476192,0.0,0.0,0.0,0.0,0.0,
250,1,0.05,2.529822128134704,300.0,1.0,4.15,1.1217896825396827,0.0,0.0,0.0,0.0,0.0,
250,1,0.1,5.059644256269408,300.0,1.0,4.246666666666667,1.1455198412698413,0.0,0.0,0.0,0.0,0.0,
250,1,0.15,7.58946638440411,300.0,1.0,4.203333333333333,1.1373809523809524,0.0,0.0,0.0,0.0,0.0,
250,1,0.2,10.119288512538816,300.0,1.0,4.2,1.13565873015873,0.0,0.0,0.0,0.0,0.0,
250,1,0.3,15.17893276880822,300.0,1.0,4.276666666666666,1.156496031746032,0.0,0.0,0.0,0.0,0.0,
250,2,0.0,0.0,300.0,1.0,4.61,1.1536666666666666,0.0,0.0,0.0,0.0,0.0,
250,2,0.02,1.0119288512538815,300.0,1.0,4.633333333333334,1.1601984126984128,0.0,0.0,0.0,0.0,0.0,
250,2,0.05,2.529822128134704,300.0,1.0,4.63,1.155563492063492,0.0,0.0,0.0,0.0,0.0,
250,2,0.1,5.059644256269408,300.0,1.0,4.6033333333333335,1.1526984126984128,0.0,0.0,0.0,0.0,0.0,
250,2,0.15,7.58946638440411,300.0,1.0,4.626666666666667,1.1597301587301587,0.0,0.0,0.0,0.0,0.0,
250,2,0.2,10.119288512538816,300.0,1.0,4.623333333333333,1.1627460317460319,0.0,0.0,0.0,0.0,0.0,
250,2,0.3,15.17893276880822,300.0,1.0,4.693333333333333,1.1799682539682539,0.0,0.0,0.0,0.0,0.0,
250,3,0.0,0.0,300.0,1.0,4.3933333333333335,1.146809523809524,0.0,0.0,0.0,0.0,0.0,
250,3,0.02,1.0119288512538815,300.0,1.0,4.38,1.1413333333333333,0.0,0.0,0.0,0.0,0.0,
250,3,0.05,2.529822128134704,300.0,1.0,4.43,1.1524444444444446,0.0,0.0,0.0,0.0,0.0,
250,3,0.1,5.059644256269408,300.0,1.0,4.406666666666666,1.1441190476190475,0.0,0.0,0.0,0.0,0.0,
250,3,0.15,7.58946638440411,300.0,1.0,4.466666666666667,1.156952380952381,0.0,0.0,0.0,0.0,0.0,
250,3,0.2,10.119288512538816,300.0,1.0,4.38,1.1436428571428572,0.0,0.0,0.0,0.0,0.0,
250,3,0.3,15.17893276880822,300.0,1.0,4.556666666666667,1.1819365079365078,0.0,0.0,0.0,0.0,0.0,
250,4,0.0,0.0,300.0,1.0,4.296666666666667,1.1347142857142858,0.0,0.0,0.0,0.0,0.0,
250,4,0.02,1.0119288512538815,300.0,1.0,4.31,1.137626984126984,0.0,0.0,0.0,0.0,0.0,
250,4,0.05,2.529822128134704,300.0,1.0,4.306666666666667,1.1378809523809525,0.0,0.0,0.0,0.0,0.0,
250,4,0.1,5.059644256269408,300.0,1.0,4.31,1.1354206349206348,0.0,0.0,0.0,0.0,0.0,
250,4,0.15,7.58946638440411,300.0,1.0,4.33,1.1466746031746031,0.0,0.0,0.0,0.0,0.0,
250,4,0.2,10.119288512538816,300.0,1.0,4.323333333333333,1.1426507936507935,0.0,0.0,0.0,0.0,0.0,
250,4,0.3,15.17893276880822,300.0,1.0,4.37,1.1552142857142855,0.0,0.0,0.0,0.0,0.0,
250,5,0.0,0.0,300.0,1.0,4.253333333333333,1.1301428571428571,0.0,0.0,0.0,0.0,0.0,
250,5,0.02,1.0119288512538815,300.0,1.0,4.286666666666667,1.1407857142857143,0.0,0.0,0.0,0.0,0.0,
250,5,0.05,2.529822128134704,300.0,1.0,4.246666666666667,1.126793650793651,0.0,0.0,0.0,0.0,0.0,
250,5,0.1,5.059644256269408,300.0,1.0,4.223333333333334,1.1169603174603173,0.0,0.0,0.0,0.0,0.0,
250,5,0.15,7.58946638440411,300.0,1.0,4.253333333333333,1.1343095238095235,0.0,0.0,0.0,0.0,0.0,
250,5,0.2,10.119288512538816,300.0,1.0,4.36,1.1632142857142855,0.0,0.0,0.0,0.0,0.0,
250,5,0.3,15.17893276880822,300.0,1.0,4.38,1.1614285714285713,0.0,0.0,0.0,0.0,0.0,
250,6,0.0,0.0,300.0,1.0,4.32,1.126626984126984,0.0,0.0,0.0,0.0,0.0,
250,6,0.02,1.0119288512538815,300.0,1.0,4.306666666666667,1.1240079365079365,0.0,0.0,0.0,0.0,0.0,
250,6,0.05,2.529822128134704,300.0,1.0,4.333333333333333,1.1277936507936508,0.0,0.0,0.0,0.0,0.0,
250,6,0.1,5.059644256269408,300.0,1.0,4.343333333333334,1.1321507936507935,0.0,0.0,0.0,0.0,0.0,
250,6,0.15,7.58946638440411,300.0,1.0,4.323333333333333,1.1275396825396826,0.0,0.0,0.0,0.0,0.0,
250,6,0.2,10.119288512538816,300.0,1.0,4.3933333333333335,1.1478253968253969,0.0,0.0,0.0,0.0,0.0,
250,6,0.3,15.17893276880822,300.0,1.0,4.406666666666666,1.1529285714285713,0.0,0.0,0.0,0.0,0.0,
250,7,0.0,0.0,300.0,1.0,4.593333333333334,1.153876984126984,0.0,0.0,0.0,0.0,0.0,
250,7,0.02,1.0119288512538815,300.0,1.0,4.58,1.147543650793651,0.0,0.0,0.0,0.0,0.0,
250,7,0.05,2.529822128134704,300.0,1.0,4.6066666666666665,1.1595992063492062,0.0,0.0,0.0,0.0,0.0,
250,7,0.1,5.059644256269408,300.0,1.0,4.61,1.1543214285714285,0.0,0.0,0.0,0.0,0.0,
250,7,0.15,7.58946638440411,300.0,1.0,4.566666666666666,1.1444880952380951,0.0,0.0,0.0,0.0,0.0,
250,7,0.2,10.119288512538816,300.0,1.0,4.596666666666667,1.1521309523809522,0.0,0.0,0.0,0.0,0.0,
250,7,0.3,15.17893276880822,300.0,1.0,4.746666666666667,1.187313492063492,0.0,0.0,0.0,0.0,0.0,
250,8,0.0,0.0,300.0,1.0,4.46,1.1441468253968254,0.0,0.0,0.0,0.0,0.0,
250,8,0.02,1.0119288512538815,300.0,1.0,4.4366666666666665,1.1399761904761905,0.0,0.0,0.0,0.0,0.0,
250,8,0.05,2.529822128134704,300.0,1.0,4.473333333333334,1.1512539682539682,0.0,0.0,0.0,0.0,0.0,
250,8,0.1,5.059644256269408,300.0,1.0,4.523333333333333,1.1574166666666668,0.0,0.0,0.0,0.0,0.0,
250,8,0.15,7.58946638440411,300.0,1.0,4.496666666666667,1.1515396825396824,0.0,0.0,0.0,0.0,0.0,
250,8,0.2,10.119288512538816,300.0,1.0,4.49,1.151154761904762,0.0,0.0,0.0,0.0,0.0,
250,8,0.3,15.17893276880822,300.0,1.0,4.6,1.178234126984127,0.0,0.0,0.0,0.0,0.0,
250,9,0.0,0.0,300.0,1.0,4.5633333333333335,1.1497103174603176,0.0,0.0,0.0,0.0,0.0,
250,9,0.02,1.0119288512538815,300.0,1.0,4.54,1.1454484126984128,0.0,0.0,0.0,0.0,0.0,
250,9,0.05,2.529822128134704,300.0,1.0,4.533333333333333,1.1419484126984125,0.0,0.0,0.0,0.0,0.0,
250,9,0.1,5.059644256269408,300.0,1.0,4.543333333333333,1.145734126984127,0.0,0.0,0.0,0.0,0.0,
250,9,0.15,7.58946638440411,300.0,1.0,4.633333333333334,1.1716349206349206,0.0,0.0,0.0,0.0,0.0,
250,9,0.2,10.119288512538816,300.0,1.0,4.61,1.1639365079365078,0.0,0.0,0.0,0.0,0.0,
250,9,0.3,15.17893276880822,300.0,1.0,4.5633333333333335,1.150781746031746,0.0,0.0,0.0,0.0,0.0,
