n_nodes,tx_pct,k_neighbors,n_trials,mean_degree_avg,mean_degree_std,connected_rate,converge_rate,ticks_avg,ticks_std,rmse_avg,rmse_std,violation_avg,r_over_s_avg,tx_energy_proxy,isolated_avg
150,8.0,6,5,4.877,0.058,1.0,0.0,250.0,0.0,226.923,62.14,2.0688,1.3856,0.00181,0.0
150,8.0,10,5,5.085,0.088,1.0,0.0,250.0,0.0,233.666,120.438,1.4603,1.3856,0.00181,0.0
150,8.0,12,5,5.085,0.088,1.0,0.0,250.0,0.0,233.666,120.438,1.4603,1.3856,0.00181,0.0
150,10.0,6,5,5.821,0.044,1.0,0.0,250.0,0.0,152.224,53.171,3.3309,1.7321,0.003162,0.0
150,10.0,10,5,8.124,0.097,1.0,0.2,230.8,38.4,266.338,188.634,3.9997,1.7321,0.003162,0.0
150,10.0,12,5,8.287,0.105,1.0,0.2,222.6,54.8,255.944,184.824,2.3002,1.7321,0.003162,0.0
150,12.0,6,5,5.972,0.012,1.0,0.0,250.0,0.0,145.58,71.104,4.7985,2.0785,0.004988,0.0
150,12.0,10,5,9.474,0.046,1.0,0.2,233.0,34.0,259.611,193.635,2.1683,2.0785,0.004988,0.0
150,12.0,12,5,10.775,0.052,1.0,0.2,227.2,45.6,260.911,182.982,4.0098,2.0785,0.004988,0.0
150,15.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,160.974,87.195,4.209,2.5981,0.008714,0.0
150,15.0,10,5,9.936,0.018,1.0,0.4,217.6,45.1,222.57,165.562,2.8103,2.5981,0.008714,0.0
150,15.0,12,5,11.799,0.04,1.0,0.4,207.4,53.6,262.446,189.496,3.2021,2.5981,0.008714,0.0
150,20.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,160.451,87.654,4.2611,3.4641,0.017889,0.0
150,20.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,241.23,163.402,3.5193,3.4641,0.017889,0.0
150,20.0,12,5,11.997,0.003,1.0,0.2,225.6,48.8,245.702,169.624,2.565,3.4641,0.017889,0.0
150,25.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,160.451,87.654,4.2611,4.3301,0.03125,0.0
150,25.0,10,5,10.0,0.0,1.0,0.2,236.0,28.0,239.178,161.16,3.5135,4.3301,0.03125,0.0
150,25.0,12,5,12.0,0.0,1.0,0.2,225.6,48.8,245.834,175.066,2.7624,4.3301,0.03125,0.0
150,30.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,160.451,87.654,4.2611,5.1962,0.049295,0.0
150,30.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,264.135,175.97,3.5927,5.1962,0.049295,0.0
150,30.0,12,5,12.0,0.0,1.0,0.2,225.6,48.8,245.834,175.066,2.7624,5.1962,0.049295,0.0
200,5.0,6,5,2.418,0.05,0.0,1.0,72.2,17.3,308.064,2.079,0.1054,1.0,0.000559,5.4
200,5.0,10,5,2.418,0.05,0.0,1.0,72.2,17.3,308.064,2.079,0.1054,1.0,0.000559,5.4
200,5.0,12,5,2.418,0.05,0.0,1.0,72.2,17.3,308.064,2.079,0.1054,1.0,0.000559,5.4
200,8.0,6,5,5.742,0.025,1.0,0.0,250.0,0.0,201.359,65.169,2.2852,1.6,0.00181,0.0
200,8.0,10,5,7.207,0.109,1.0,0.0,250.0,0.0,251.457,102.266,1.7587,1.6,0.00181,0.0
200,8.0,12,5,7.226,0.12,1.0,0.0,250.0,0.0,240.546,98.11,1.7391,1.6,0.00181,0.0
200,10.0,6,5,5.977,0.007,1.0,0.0,250.0,0.0,187.324,55.467,4.0395,2.0,0.003162,0.0
200,10.0,10,5,9.52,0.038,1.0,0.2,225.6,48.8,120.704,113.761,1.6837,2.0,0.003162,0.0
200,10.0,12,5,10.794,0.071,1.0,0.0,250.0,0.0,150.646,134.738,3.166,2.0,0.003162,0.0
200,12.0,6,5,5.998,0.002,1.0,0.0,250.0,0.0,210.602,89.736,2.8691,2.4,0.004988,0.0
200,12.0,10,5,9.894,0.011,1.0,0.2,234.0,32.0,135.087,114.603,2.3062,2.4,0.004988,0.0
200,12.0,12,5,11.721,0.015,1.0,0.2,220.4,59.2,190.486,148.018,2.8496,2.4,0.004988,0.0
200,15.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,211.886,86.152,3.3697,3.0,0.008714,0.0
200,15.0,10,5,9.997,0.004,1.0,0.2,216.0,68.0,123.223,91.787,2.9165,3.0,0.008714,0.0
200,15.0,12,5,11.976,0.012,1.0,0.2,219.0,62.0,114.982,88.444,2.8364,3.0,0.008714,0.0
200,20.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,205.689,88.646,3.0212,4.0,0.017889,0.0
200,20.0,10,5,10.0,0.0,1.0,0.2,231.4,37.2,121.789,94.786,2.5441,4.0,0.017889,0.0
200,20.0,12,5,12.0,0.0,1.0,0.4,215.2,64.7,99.859,118.944,2.4356,4.0,0.017889,0.0
200,25.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,205.542,89.4,3.3075,5.0,0.03125,0.0
200,25.0,10,5,10.0,0.0,1.0,0.2,222.2,55.6,119.456,94.454,2.5566,5.0,0.03125,0.0
200,25.0,12,5,12.0,0.0,1.0,0.4,215.2,64.7,99.859,118.944,2.4356,5.0,0.03125,0.0
200,30.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,207.379,91.747,3.162,6.0,0.049295,0.0
200,30.0,10,5,10.0,0.0,1.0,0.2,231.4,37.2,121.538,94.481,2.4703,6.0,0.049295,0.0
200,30.0,12,5,12.0,0.0,1.0,0.4,215.2,64.7,88.469,96.31,1.9856,6.0,0.049295,0.0
300,5.0,6,5,3.997,0.057,0.0,0.4,228.8,39.0,281.37,38.228,0.8332,1.2247,0.000559,1.0
300,5.0,10,5,4.017,0.062,0.0,0.4,223.2,35.2,280.432,32.193,0.7344,1.2247,0.000559,1.0
300,5.0,12,5,4.017,0.062,0.0,0.4,223.2,35.2,280.432,32.193,0.7344,1.2247,0.000559,1.0
300,8.0,6,5,5.977,0.006,1.0,0.0,250.0,0.0,253.363,63.163,2.5177,1.9596,0.00181,0.0
300,8.0,10,5,9.524,0.028,1.0,0.0,250.0,0.0,208.963,75.324,2.2235,1.9596,0.00181,0.0
300,8.0,12,5,10.632,0.043,1.0,0.0,250.0,0.0,164.853,106.243,1.5597,1.9596,0.00181,0.0
300,10.0,6,5,5.999,0.001,1.0,0.0,250.0,0.0,271.371,79.055,2.1236,2.4495,0.003162,0.0
300,10.0,10,5,9.955,0.013,1.0,0.0,250.0,0.0,233.037,95.374,2.4996,2.4495,0.003162,0.0
300,10.0,12,5,11.821,0.013,1.0,0.0,250.0,0.0,227.661,131.213,2.6396,2.4495,0.003162,0.0
300,12.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,267.713,76.701,2.568,2.9394,0.004988,0.0
300,12.0,10,5,9.998,0.003,1.0,0.0,250.0,0.0,230.198,104.844,2.5,2.9394,0.004988,0.0
300,12.0,12,5,11.981,0.009,1.0,0.0,250.0,0.0,219.031,154.301,2.3666,2.9394,0.004988,0.0
300,15.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,269.533,82.637,2.333,3.6742,0.008714,0.0
300,15.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,226.702,103.961,2.4978,3.6742,0.008714,0.0
300,15.0,12,5,12.0,0.0,1.0,0.0,250.0,0.0,216.785,158.209,1.7299,3.6742,0.008714,0.0
300,20.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,271.514,79.738,2.4592,4.899,0.017889,0.0
300,20.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,226.716,102.394,2.0622,4.899,0.017889,0.0
300,20.0,12,5,12.0,0.0,1.0,0.0,250.0,0.0,215.097,160.375,1.6759,4.899,0.017889,0.0
300,25.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,270.013,80.796,2.4207,6.1237,0.03125,0.0
300,25.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,239.294,104.687,2.7514,6.1237,0.03125,0.0
300,25.0,12,5,12.0,0.0,1.0,0.0,250.0,0.0,214.494,154.25,1.9162,6.1237,0.03125,0.0
300,30.0,6,5,6.0,0.0,1.0,0.0,250.0,0.0,267.579,75.515,2.5987,7.3485,0.049295,0.0
300,30.0,10,5,10.0,0.0,1.0,0.0,250.0,0.0,238.092,107.356,2.582,7.3485,0.049295,0.0
300,30.0,12,5,12.0,0.0,1.0,0.0,250.0,0.0,217.618,157.813,1.9702,7.3485,0.049295,0.0
