n_nodes,seed,connected,n_pairs,case,pdr,mean_hops_delivered,mean_stretch_delivered,greedy_failure_rate,loop_rate,dead_end_rate,hop_limit_rate,disconnected_rate,decision_agreement
250,0,1,300.0,A_reference,0.9,6.796296296296297,1.278641975308642,0.1,0.1,0.0,0.0,0.0,
250,0,1,300.0,B_mds_only,1.0,6.553333333333334,1.223047619047619,0.0,0.0,0.0,0.0,0.0,0.43035882635882633
250,0,1,300.0,C_mds_attraction,1.0,6.62,1.2347420634920634,0.0,0.0,0.0,0.0,0.0,0.43573773448773445
250,1,1,300.0,A_reference,0.9166666666666666,6.494545454545454,1.2604805194805195,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,
250,1,1,300.0,B_mds_only,1.0,6.48,1.2413690476190473,0.0,0.0,0.0,0.0,0.0,0.5671690716690716
250,1,1,300.0,C_mds_attraction,0.9966666666666667,6.568561872909699,1.2600891861761427,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.46485666878643467
250,2,1,300.0,A_reference,0.8466666666666667,6.070866141732283,1.264796587926509,0.15333333333333332,0.15333333333333332,0.0,0.0,0.0,
250,2,1,300.0,B_mds_only,1.0,6.123333333333333,1.2256785714285714,0.0,0.0,0.0,0.0,0.0,0.4929482924482924
250,2,1,300.0,C_mds_attraction,0.9866666666666667,6.206081081081081,1.2488537644787645,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.5019361644361644
250,3,1,300.0,A_reference,0.9366666666666666,6.02846975088968,1.2227122521606508,0.06333333333333334,0.06333333333333334,0.0,0.0,0.0,
250,3,1,300.0,B_mds_only,1.0,6.16,1.2284484126984125,0.0,0.0,0.0,0.0,0.0,0.46885545935545936
250,3,1,300.0,C_mds_attraction,1.0,6.016666666666667,1.2047777777777775,0.0,0.0,0.0,0.0,0.0,0.45500697450697447
250,4,1,300.0,A_reference,0.93,6.440860215053763,1.2755916823121125,0.07,0.07,0.0,0.0,0.0,
250,4,1,300.0,B_mds_only,0.9966666666666667,6.2040133779264215,1.2234976376280726,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.3874970440187831
250,4,1,300.0,C_mds_attraction,0.9966666666666667,6.197324414715719,1.2224292615596963,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.38387180452397845
250,5,1,300.0,A_reference,0.9,6.17037037037037,1.2229159318048206,0.1,0.1,0.0,0.0,0.0,
250,5,1,300.0,B_mds_only,1.0,6.026666666666666,1.1689391534391533,0.0,0.0,0.0,0.0,0.0,0.5024880674880675
250,5,1,300.0,C_mds_attraction,1.0,6.016666666666667,1.1675502645502647,0.0,0.0,0.0,0.0,0.0,0.5049567192067193
250,6,1,300.0,A_reference,0.96,6.21875,1.2260141093474426,0.04,0.04,0.0,0.0,0.0,
250,6,1,300.0,B_mds_only,1.0,6.046666666666667,1.1951415343915344,0.0,0.0,0.0,0.0,0.0,0.5415734728234728
250,6,1,300.0,C_mds_attraction,1.0,6.216666666666667,1.2232314814814815,0.0,0.0,0.0,0.0,0.0,0.5265632515632516
250,7,1,300.0,A_reference,0.95,6.231578947368421,1.2212698412698413,0.05,0.05,0.0,0.0,0.0,
250,7,1,300.0,B_mds_only,0.9966666666666667,6.083612040133779,1.183823060996974,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.5299133233915843
250,7,1,300.0,C_mds_attraction,0.9966666666666667,6.107023411371237,1.1904642458990284,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.5277672810281506
250,8,1,300.0,A_reference,0.9066666666666666,6.022058823529412,1.264093137254902,0.09333333333333334,0.09333333333333334,0.0,0.0,0.0,
250,8,1,300.0,B_mds_only,1.0,5.93,1.2191507936507935,0.0,0.0,0.0,0.0,0.0,0.4865941558441559
250,8,1,300.0,C_mds_attraction,1.0,6.1866666666666665,1.2662857142857145,0.0,0.0,0.0,0.0,0.0,0.4732670755170756
250,9,1,300.0,A_reference,0.92,6.181159420289855,1.2284233379342073,0.08,0.08,0.0,0.0,0.0,
250,9,1,300.0,B_mds_only,1.0,6.3,1.2275357142857146,0.0,0.0,0.0,0.0,0.0,0.5247878972878972
250,9,1,300.0,C_mds_attraction,0.9966666666666667,6.2842809364548495,1.227434039390561,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.4578021291231994
