n_nodes,seed,k_neighbors,tx_pct,connected,n_pairs_requested,n_pairs,pdr,mean_hops_delivered,mean_stretch_delivered,greedy_failure_rate,loop_rate,dead_end_rate,hop_limit_rate,disconnected_rate,decision_agreement,case
250,12,10,12.521980673998822,1,500,500.0,1.0,4.394,1.140652380952381,0.0,0.0,0.0,0.0,0.0,0.8951563492063492,B_mds_only
250,12,10,12.521980673998822,1,500,500.0,1.0,4.394,1.140652380952381,0.0,0.0,0.0,0.0,0.0,0.8951563492063492,C_mds_attraction
250,13,10,12.521980673998822,1,500,500.0,1.0,4.406,1.1487738095238094,0.0,0.0,0.0,0.0,0.0,,A_reference
250,13,10,12.521980673998822,1,500,500.0,1.0,4.378,1.142954761904762,0.0,0.0,0.0,0.0,0.0,0.900468253968254,B_mds_only
250,13,10,12.521980673998822,1,500,500.0,1.0,4.378,1.142954761904762,0.0,0.0,0.0,0.0,0.0,0.900468253968254,C_mds_attraction
250,14,10,12.521980673998822,1,500,500.0,1.0,4.428,1.127197619047619,0.0,0.0,0.0,0.0,0.0,,A_reference
250,14,10,12.521980673998822,1,500,500.0,1.0,4.414,1.1223880952380951,0.0,0.0,0.0,0.0,0.0,0.8886095238095238,B_mds_only
250,14,10,12.521980673998822,1,500,500.0,1.0,4.414,1.1223880952380951,0.0,0.0,0.0,0.0,0.0,0.8886095238095238,C_mds_attraction
250,15,10,12.521980673998822,1,500,500.0,1.0,4.484,1.1471619047619046,0.0,0.0,0.0,0.0,0.0,,A_reference
250,15,10,12.521980673998822,1,500,500.0,1.0,4.45,1.135702380952381,0.0,0.0,0.0,0.0,0.0,0.9038484126984127,B_mds_only
250,15,10,12.521980673998822,1,500,500.0,1.0,4.45,1.135702380952381,0.0,0.0,0.0,0.0,0.0,0.9038484126984127,C_mds_attraction
250,16,10,12.521980673998822,1,500,500.0,1.0,4.442,1.1506833333333335,0.0,0.0,0.0,0.0,0.0,,A_reference
250,16,10,12.521980673998822,1,500,500.0,1.0,4.398,1.1426880952380953,0.0,0.0,0.0,0.0,0.0,0.9023190476190477,B_mds_only
250,16,10,12.521980673998822,1,500,500.0,1.0,4.396,1.1422880952380952,0.0,0.0,0.0,0.0,0.0,0.9015190476190477,C_mds_attraction
250,17,10,12.521980673998822,1,500,500.0,1.0,4.394,1.1547285714285713,0.0,0.0,0.0,0.0,0.0,,A_reference
250,17,10,12.521980673998822,1,500,500.0,1.0,4.392,1.1502119047619048,0.0,0.0,0.0,0.0,0.0,0.9053253968253968,B_mds_only
250,17,10,12.521980673998822,1,500,500.0,1.0,4.392,1.1502119047619048,0.0,0.0,0.0,0.0,0.0,0.9053253968253968,C_mds_attraction
250,18,10,12.521980673998822,1,500,500.0,1.0,4.362,1.1419785714285713,0.0,0.0,0.0,0.0,0.0,,A_reference
250,18,10,12.521980673998822,1,500,500.0,1.0,4.334,1.135047619047619,0.0,0.0,0.0,0.0,0.0,0.8916277777777777,B_mds_only
250,18,10,12.521980673998822,1,500,500.0,1.0,4.334,1.135047619047619,0.0,0.0,0.0,0.0,0.0,0.8916277777777777,C_mds_attraction
250,19,10,12.521980673998822,1,500,500.0,1.0,4.514,1.145097619047619,0.0,0.0,0.0,0.0,0.0,,A_reference
250,19,10,12.521980673998822,1,500,500.0,1.0,4.506,1.1481738095238092,0.0,0.0,0.0,0.0,0.0,0.895353823953824,B_mds_only
250,19,10,12.521980673998822,1,500,500.0,1.0,4.506,1.1481738095238092,0.0,0.0,0.0,0.0,0.0,0.895353823953824,C_mds_attraction
