n_nodes,seed,tx_pct,k_neighbors,reference_columns,connected,mean_degree,ticks,converged_hard,mean_constraint_violation,procrustes_rmse,angle_mae_deg,angle_sd_deg,angle_cv_pct,n_edge_angles,directional_correctness,mode,init_mode,uniform_normalize,early_stop,max_ticks
25,0,39.59797974644666,10,5,1,9.76,800,1,0.0,433.7193945009854,86.57169574387085,49.61144680148517,57.306774893568594,121,1.0,A_planned_geometry,scrambled_reference,1,0,800
25,1,39.59797974644666,10,5,1,9.84,800,1,0.0,130.7642116972743,25.20506399446193,29.31041476832538,116.28780143055967,124,0.83,A_planned_geometry,scrambled_reference,1,0,800
25,2,39.59797974644666,10,5,1,9.8,800,1,0.0,426.0288851411759,85.73593965112461,47.92120841573754,55.89395603610084,129,0.975,A_planned_geometry,scrambled_reference,1,0,800
25,3,39.59797974644666,10,5,1,9.6,800,1,0.0,182.18330977113538,32.37811268161546,31.0130034635577,95.78385179061755,120,0.77,A_planned_geometry,scrambled_reference,1,0,800
25,4,39.59797974644666,10,5,1,9.76,800,1,0.0,38.25833897517265,8.638224148631615,9.656824973044426,111.79178505774439,125,0.955,A_planned_geometry,scrambled_reference,1,0,800
25,5,39.59797974644666,10,5,1,9.76,800,1,0.0,431.5357627386993,89.77222737559495,50.72270287155295,56.501553269181976,126,0.995,A_planned_geometry,scrambled_reference,1,0,800
25,6,39.59797974644666,10,5,1,9.52,800,1,0.0,398.01807934409754,80.87537187299381,51.8789934055416,64.14683754037267,123,0.96,A_planned_geometry,scrambled_reference,1,0,800
25,7,39.59797974644666,10,5,1,9.64,800,1,0.0,324.69861203279476,71.80613337680293,48.95653963720656,68.17877155466226,118,0.86,A_planned_geometry,scrambled_reference,1,0,800
25,8,39.59797974644666,10,5,1,9.96,800,1,0.0,393.64756619252154,82.51316233747902,48.83802138302341,59.188158591323635,121,0.985,A_planned_geometry,scrambled_reference,1,0,800
25,9,39.59797974644666,10,5,1,9.8,800,1,0.0,424.62380999815775,91.1030000493358,47.98262993895348,52.66855088522774,123,0.96,A_planned_geometry,scrambled_reference,1,0,800
25,10,39.59797974644666,10,5,1,9.96,800,1,0.0,44.28157771344196,10.445534403662508,9.744833155464706,93.29185830882797,127,0.92,A_planned_geometry,scrambled_reference,1,0,800
25,11,39.59797974644666,10,5,1,9.68,800,1,0.0,49.87036975377388,9.65951239476935,6.529362358961631,67.5951548289052,118,0.97,A_planned_geometry,scrambled_reference,1,0,800
25,12,39.59797974644666,10,5,1,9.76,800,1,0.0,297.53100385112,55.78056527690598,48.77557856559126,87.44188647687496,124,0.785,A_planned_geometry,scrambled_reference,1,0,800
25,13,39.59797974644666,10,5,1,9.8,800,1,0.0,39.057396573799956,6.716296972836851,5.421719693920782,80.72483566239237,127,0.98,A_planned_geometry,scrambled_reference,1,0,800
25,14,39.59797974644666,10,5,1,9.68,800,1,0.0,431.034492947691,92.83156004060744,51.53018058549238,55.509333854727274,119,0.985,A_planned_geometry,scrambled_reference,1,0,800
25,15,39.59797974644666,10,5,1,9.92,800,1,0.0,374.11973614613487,78.32348779122887,47.156267985878635,60.20705833679623,130,0.95,A_planned_geometry,scrambled_reference,1,0,800
25,16,39.59797974644666,10,5,1,9.8,800,1,0.0,28.875162643396035,7.288890345160634,9.366049654616766,128.49760678366133,123,0.95,A_planned_geometry,scrambled_reference,1,0,800
25,17,39.59797974644666,10,5,1,9.64,800,1,0.0,424.1891720752051,86.88918926676543,53.21451028427465,61.244109576044664,122,0.99,A_planned_geometry,scrambled_reference,1,0,800
25,18,39.59797974644666,10,5,1,9.76,800,1,0.0,45.43891636205017,8.266450790900375,7.08104596963214,85.6600510756912,122,0.955,A_planned_geometry,scrambled_reference,1,0,800
25,19,39.59797974644666,10,5,1,9.76,800,1,0.0,201.93149811851012,40.38660168249916,33.64097844628145,83.29737349715955,126,0.8,A_planned_geometry,scrambled_reference,1,0,800
64,0,24.74873734152916,10,8,1,9.90625,800,1,0.0,258.62381036904446,59.43696620743883,47.7055153873263,80.26236605150908,321,0.63,A_planned_geometry,scrambled_reference,1,0,800
64,1,24.74873734152916,10,8,1,9.90625,800,1,0.0,215.8753760400686,34.67188485667376,40.85891642451243,117.8445204043984,315,0.655,A_planned_geometry,scrambled_reference,1,0,800
64,2,24.74873734152916,10,8,1,9.90625,800,1,0.0,185.30603138275845,45.367932654187584,45.32528296916306,99.90599156159568,319,0.585,A_planned_geometry,scrambled_reference,1,0,800
64,3,24.74873734152916,10,8,1,9.890625,800,1,0.0,33.158520847471664,9.614098196680049,8.072830772876797,83.96867400069324,313,0.92,A_planned_geometry,scrambled_reference,1,0,800
64,4,24.74873734152916,10,8,1,9.875,800,1,0.0,141.0090862895576,35.3673155941617,34.52961363751494,97.63142341290656,310,0.71,A_planned_geometry,scrambled_reference,1,0,800
64,5,24.74873734152916,10,8,1,9.90625,800,1,0.0,285.2395898641029,59.592234145827376,45.914594099865,77.0479488778823,315,0.675,A_planned_geometry,scrambled_reference,1,0,800
64,6,24.74873734152916,10,8,1,9.8125,800,1,0.0,237.99992894102817,43.442135508161215,45.19742330669574,104.04051913655296,309,0.7,A_planned_geometry,scrambled_reference,1,0,800
64,7,24.74873734152916,10,8,1,9.90625,800,1,0.0,336.84376227906455,63.58944792635177,50.78664406460963,79.8664648314448,309,0.735,A_planned_geometry,scrambled_reference,1,0,800
64,8,24.74873734152916,10,8,1,9.90625,800,1,0.0,254.73396198969806,47.857855311515856,44.73014009963553,93.46457297026488,320,0.655,A_planned_geometry,scrambled_reference,1,0,800
64,9,24.74873734152916,10,8,1,9.90625,800,1,0.0,30.813131116037287,9.700581505094352,7.445389045527188,76.75198689498328,314,0.895,A_planned_geometry,scrambled_reference,1,0,800
64,10,24.74873734152916,10,8,1,9.953125,800,1,0.0,26.522967597668423,9.243131079145462,9.240734268368701,99.97406927634978,313,0.955,A_planned_geometry,scrambled_reference,1,0,800
64,11,24.74873734152916,10,8,1,9.921875,800,1,0.0,172.23476887553028,43.10074350493611,42.97099841331426,99.6989724977552,316,0.64,A_planned_geometry,scrambled_reference,1,0,800
64,12,24.74873734152916,10,8,1,9.90625,800,1,0.0,316.1964965300234,61.555107077397274,47.74020106853545,77.55684838385314,317,0.725,A_planned_geometry,scrambled_reference,1,0,800
64,13,24.74873734152916,10,8,1,9.921875,800,1,0.0,146.46786621148328,29.443128763773817,29.447519725153008,100.01491336540494,316,0.785,A_planned_geometry,scrambled_reference,1,0,800
64,14,24.74873734152916,10,8,1,9.90625,800,1,0.0,117.26153697527633,25.45992991868027,27.66610309473397,108.66527591827739,313,0.825,A_planned_geometry,scrambled_reference,1,0,800
64,15,24.74873734152916,10,8,1,9.90625,800,1,0.0,86.39101247249594,19.58153754369571,21.200673903086802,108.26868858371327,316,0.87,A_planned_geometry,scrambled_reference,1,0,800
64,16,24.74873734152916,10,8,1,9.828125,800,1,0.0,313.92924683195906,66.60760019237668,49.36736673484103,74.11671729991434,319,0.74,A_planned_geometry,scrambled_reference,1,0,800
64,17,24.74873734152916,10,8,1,9.90625,800,1,0.0,420.0333653417222,84.79575470262753,50.04742193233628,59.02114098500437,319,0.945,A_planned_geometry,scrambled_reference,1,0,800
64,18,24.74873734152916,10,8,1,9.921875,800,1,0.0,275.84979209207575,60.88305813967536,44.43745788841962,72.9882158456513,316,0.56,A_planned_geometry,scrambled_reference,1,0,800
64,19,24.74873734152916,10,8,1,9.890625,800,1,0.0,410.2748332957372,82.06224309747493,50.32280306046077,61.32272426514894,309,0.915,A_planned_geometry,scrambled_reference,1,0,800
100,0,19.79898987322333,10,10,1,9.94,800,1,0.0,152.59892754958534,38.34593976159749,41.33501188459502,107.79501595626824,490,0.62,A_planned_geometry,scrambled_reference,1,0,800
100,1,19.79898987322333,10,10,1,9.97,800,1,0.0,218.48177314226496,42.127275098972845,41.47557529797443,98.45302170751057,498,0.695,A_planned_geometry,scrambled_reference,1,0,800
100,2,19.79898987322333,10,10,1,9.92,800,1,0.0,259.3483861432603,51.39174229658206,46.561023638089935,90.60020454139497,498,0.61,A_planned_geometry,scrambled_reference,1,0,800
