n_nodes,tx_pct,k_neighbors,n_trials,mean_degree_avg,mean_degree_std,connected_rate,hard_converge_rate,meaningful_hard_rate,soft_converge_rate,ticks_avg,ticks_std,rmse_avg,rmse_std,violation_avg,r_over_s_avg,tx_energy_proxy,isolated_avg
100,30.0,6,5,6.0,0.0,1.0,0.2,0.2,0.2,234.0,35.8,163.92,121.485,2.9798,4.2426,0.049295,0.0
100,30.0,10,5,10.0,0.0,1.0,0.4,0.4,0.4,193.4,84.5,53.785,28.521,2.0859,4.2426,0.049295,0.0
100,30.0,12,5,12.0,0.0,1.0,0.8,0.8,0.8,135.4,98.5,195.161,224.51,1.02,4.2426,0.049295,0.0
150,5.0,6,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,5.0,10,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,5.0,12,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,8.0,6,5,4.877,0.065,1.0,0.0,0.0,0.0,250.0,0.0,226.923,69.475,2.0688,1.3856,0.00181,0.0
150,8.0,10,5,5.085,0.099,1.0,0.0,0.0,0.0,250.0,0.0,233.666,134.654,1.4603,1.3856,0.00181,0.0
150,8.0,12,5,5.085,0.099,1.0,0.0,0.0,0.0,250.0,0.0,233.666,134.654,1.4603,1.3856,0.00181,0.0
150,10.0,6,5,5.821,0.049,1.0,0.0,0.0,0.0,250.0,0.0,152.224,59.447,3.3309,1.7321,0.003162,0.0
150,10.0,10,5,8.124,0.109,1.0,0.2,0.2,0.2,230.8,42.9,266.338,210.9,3.9997,1.7321,0.003162,0.0
150,10.0,12,5,8.287,0.117,1.0,0.2,0.2,0.4,222.6,61.3,255.944,206.64,2.3002,1.7321,0.003162,0.0
150,12.0,6,5,5.972,0.014,1.0,0.0,0.0,0.0,250.0,0.0,145.58,79.497,4.7985,2.0785,0.004988,0.0
150,12.0,10,5,9.474,0.051,1.0,0.2,0.2,0.6,233.0,38.0,259.611,216.49,2.1683,2.0785,0.004988,0.0
150,12.0,12,5,10.775,0.058,1.0,0.2,0.2,0.2,227.2,51.0,260.911,204.58,4.0098,2.0785,0.004988,0.0
150,15.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,160.974,97.486,4.209,2.5981,0.008714,0.0
150,15.0,10,5,9.936,0.02,1.0,0.4,0.4,0.4,217.6,50.5,222.57,185.104,2.8103,2.5981,0.008714,0.0
150,15.0,12,5,11.799,0.044,1.0,0.4,0.4,0.4,207.4,59.9,262.446,211.863,3.2021,2.5981,0.008714,0.0
150,20.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,160.451,98.001,4.2611,3.4641,0.017889,0.0
150,20.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,241.23,182.689,3.5193,3.4641,0.017889,0.0
150,20.0,12,5,11.997,0.004,1.0,0.2,0.2,0.2,225.6,54.6,245.702,189.645,2.565,3.4641,0.017889,0.0
150,25.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,160.451,98.001,4.2611,4.3301,0.03125,0.0
150,25.0,10,5,10.0,0.0,1.0,0.2,0.2,0.2,236.0,31.3,239.178,180.183,3.5135,4.3301,0.03125,0.0
150,25.0,12,5,12.0,0.0,1.0,0.2,0.2,0.2,225.6,54.6,245.834,195.729,2.7624,4.3301,0.03125,0.0
150,30.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,160.451,98.001,4.2611,5.1962,0.049295,0.0
150,30.0,10,5,10.0,0.0,1.0,0.0,0.0,0.2,250.0,0.0,264.135,196.74,3.5927,5.1962,0.049295,0.0
150,30.0,12,5,12.0,0.0,1.0,0.2,0.2,0.2,225.6,54.6,245.834,195.729,2.7624,5.1962,0.049295,0.0
200,5.0,6,5,2.418,0.056,0.0,1.0,0.0,0.0,72.2,19.3,308.064,2.325,0.1054,1.0,0.000559,5.4
200,5.0,10,5,2.418,0.056,0.0,1.0,0.0,0.0,72.2,19.3,308.064,2.325,0.1054,1.0,0.000559,5.4
200,5.0,12,5,2.418,0.056,0.0,1.0,0.0,0.0,72.2,19.3,308.064,2.325,0.1054,1.0,0.000559,5.4
200,8.0,6,5,5.742,0.028,1.0,0.0,0.0,0.0,250.0,0.0,201.359,72.861,2.2852,1.6,0.00181,0.0
200,8.0,10,5,7.207,0.121,1.0,0.0,0.0,0.0,250.0,0.0,251.457,114.337,1.7587,1.6,0.00181,0.0
200,8.0,12,5,7.226,0.134,1.0,0.0,0.0,0.0,250.0,0.0,240.546,109.691,1.7391,1.6,0.00181,0.0
200,10.0,6,5,5.977,0.008,1.0,0.0,0.0,0.0,250.0,0.0,187.324,62.014,4.0395,2.0,0.003162,0.0
200,10.0,10,5,9.52,0.042,1.0,0.2,0.2,0.4,225.6,54.6,120.704,127.188,1.6837,2.0,0.003162,0.0
200,10.0,12,5,10.794,0.079,1.0,0.0,0.0,0.2,250.0,0.0,150.646,150.641,3.166,2.0,0.003162,0.0
200,12.0,6,5,5.998,0.003,1.0,0.0,0.0,0.0,250.0,0.0,210.602,100.328,2.8691,2.4,0.004988,0.0
200,12.0,10,5,9.894,0.012,1.0,0.2,0.2,0.2,234.0,35.8,135.087,128.13,2.3062,2.4,0.004988,0.0
200,12.0,12,5,11.721,0.017,1.0,0.2,0.2,0.4,220.4,66.2,190.486,165.489,2.8496,2.4,0.004988,0.0
200,15.0,6,5,6.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,211.886,96.321,3.3697,3.0,0.008714,0.0
